id:ID,name,:LABEL,parent
b0_c0_1,视网膜神经退行性疾病,疾病,b0_c0_32
b0_c0_2,生物力学,病因,
b0_c0_3,视觉器官,解剖结构,b0_c0_264
b0_c0_4,视网膜,解剖结构,b0_c0_60
b0_c0_6,枕叶皮质视中枢,解剖结构,
b0_c0_7,大脑,解剖结构,b0_c1_58
b0_c0_8,动眼神经,解剖结构,b0_c18_969
b0_c0_9,滑车神经,解剖结构,b0_c8_615
b0_c0_10,三叉神经,解剖结构,b0_c18_165
b0_c0_11,展神经,解剖结构,b0_c18_969
b0_c0_12,面神经,解剖结构,b0_c4_727
b0_c0_13,迷走神经,解剖结构,b1_c2_1652
b0_c0_14,角膜,解剖结构,b0_c0_69
b0_c0_15,房水,解剖结构,b0_c0_79
b0_c0_16,晶状体,解剖结构,b0_c0_243
b0_c0_17,玻璃体,解剖结构,b0_c2_589
b0_c0_18,视网膜感光细胞,解剖结构,b7_c28_271
b0_c0_19,视中枢,解剖结构,b0_c1_20
b0_c0_20,角膜移植,手术,b0_c7_273
b0_c0_21,视觉感知,症状和体征,
b0_c0_22,视觉认知,症状和体征,
b0_c0_23,拓扑性,症状和体征,b0_c0_22
b0_c0_24,共线性,症状和体征,b0_c0_22
b0_c0_25,平行性,症状和体征,b0_c0_22
b0_c0_26,竞争组织,症状和体征,b0_c0_22
b0_c0_27,大范围优先性,症状和体征,b0_c0_22
b0_c0_28,图形结构优势效应,症状和体征,b0_c0_22
b0_c0_29,运动和形状知觉关系,症状和体征,b0_c0_22
b0_c0_30,情绪和形状知觉关系,症状和体征,b0_c0_22
b0_c0_31,激光,药物治疗,
b0_c0_32,胚胎干细胞,药物治疗,
b0_c0_33,诱导多能干细胞,药物治疗,
b0_c0_34,基因治疗药物,药物治疗,
b0_c0_35,眼科学,基础治疗,b2_c92_223
b0_c0_36,视力检查,诊断方案,b0_c11_1625
b0_c0_37,光,疾病,
b0_c0_38,电磁波,疾病,b0_c0_37
b0_c0_39,海浪,疾病,
b0_c0_40,辐射,疾病,b0_c0_38
b0_c0_41,麦克斯韦,病因,b0_c0_38
b0_c0_42,惠更新的光波模型,病因,b0_c0_38
b0_c0_43,马克斯·普朗克,病因,
b0_c0_44,爱因斯坦,病因,b0_c0_37
b0_c0_45,粒子,解剖结构,b0_c0_37
b0_c0_46,波,解剖结构,b0_c0_37
b0_c0_47,光粒子,解剖结构,
b0_c0_48,波的频率,解剖结构,b0_c0_47
b0_c0_49,交叠波纹,症状和体征,
b0_c0_50,更亮的光,症状和体征,b0_c0_37
b0_c0_51,相互抵消,症状和体征,b0_c0_37
b0_c0_52,电磁波的存在,症状和体征,
b0_c0_53,能量包,症状和体征,b0_c0_38
b0_c0_54,眼病,疾病,b0_c1_2
b0_c0_55,脱髓鞘,疾病,b0_c0_100
b0_c0_56,椎体外系统和脊髓退行性疾病,疾病,b0_c0_100
b0_c0_57,颅内占位性病变,疾病,b0_c15_170
b0_c0_58,高血压,疾病,b0_c0_60
b0_c0_59,动脉硬化,疾病,b0_c0_58
b0_c0_60,视网膜静脉阻塞,疾病,b0_c0_58
b0_c0_61,甲状腺相关眼病,疾病,b0_c2_655
b0_c0_62,系统性自身免疫病,疾病,
b0_c0_63,葡萄膜炎,疾病,b0_c0_62
b0_c0_64,视网膜血管炎,疾病,b0_c0_62
b0_c0_65,视神经炎,疾病,b0_c0_62
b0_c0_66,早产儿视网膜病变,疾病,b0_c1_220
b0_c0_67,妊娠高血压综合征,疾病,
b0_c0_68,夜盲症,疾病,b0_c0_127
b0_c0_69,角膜病变,疾病,b0_c4_477
b0_c0_70,视神经萎缩,疾病,b0_c3_115
b0_c0_71,代谢性眼病,疾病,b0_c0_264
b0_c0_73,高脂血症,疾病,b0_c0_71
b0_c0_74,视网膜中央静脉/动脉阻塞,疾病,b0_c0_92
b0_c0_75,年龄相关性黄斑变性,疾病,b0_c0_92
b0_c0_76,晶状体混浊,疾病,b0_c0_92
b0_c0_77,玻璃体退变,疾病,b0_c0_92
b0_c0_78,糖尿病性视网膜病变,疾病,b0_c0_93
b0_c0_79,青光眼,疾病,b0_c0_239
b0_c0_80,视网膜色素变性,疾病,b0_c1_564
b0_c0_81,视神经病变,疾病,b0_c0_61
b0_c0_82,RPE变性类疾病,疾病,
b0_c0_83,AMD,别名,b0_c0_75
b0_c0_84,RP,别名,b0_c0_80
b0_c0_85,IOP,别名,b0_c10_1060
b0_c0_86,RGC,别名,
b0_c0_88,甲状腺功能异常,病因,b0_c0_61
b0_c0_89,视网膜血管未发育成熟,病因,b0_c0_66
b0_c0_90,纤维组织增生,病因,b0_c0_66
b0_c0_91,营养不良,疾病,b0_c0_312
b0_c0_92,脂代谢异常,疾病,
b0_c0_93,糖代谢异常,疾病,
b0_c0_94,免疫微环境,病因,b0_c0_54
b0_c0_95,血清自身抗体,病因,b0_c0_79
b0_c0_96,T细胞浸润,疾病,b0_c0_110
b0_c0_97,肠道菌群失调,病因,b0_c0_96
b0_c0_98,免疫应答失调,病因,b0_c0_82
b0_c0_99,视神经纤维,解剖结构,b0_c0_79
b0_c0_100,中枢神经系统,解剖结构,b0_c1_1
b0_c0_101,视觉系统,解剖结构,b0_c16_345
b0_c0_102,眼部,解剖结构,b0_c0_54
b0_c0_103,眼底血管,解剖结构,b7_c19_343
b0_c0_104,视网膜血管,解剖结构,b0_c0_66
b0_c0_105,眼眶肌肉,解剖结构,b0_c0_61
b0_c0_106,泪腺,解剖结构,b0_c0_61
b0_c0_107,结缔组织,解剖结构,b0_c0_61
b0_c0_109,视网膜微血管,解剖结构,b0_c0_78
b0_c0_111,视网膜神经节细胞,解剖结构,b0_c0_79
b0_c0_112,视网膜色素上皮细胞,解剖结构,b0_c1_492
b0_c0_113,T淋巴细胞,解剖结构,b0_c12_71
b0_c0_114,巨噬细胞,解剖结构,b0_c7_145
b0_c0_115,小胶质细胞,解剖结构,b0_c23_772
b0_c0_116,吸氧,注意事项,b0_c0_66
b0_c0_117,产后,注意事项,b0_c0_67
b0_c0_118,眼压恢复,注意事项,b0_c0_111
b0_c0_119,症状和体征,症状和体征,b0_c0_78
b0_c0_120,眼睑退缩,症状和体征,b0_c0_61
b0_c0_121,眼球突出,症状和体征,b0_c0_61
b0_c0_122,运动障碍,症状和体征,b0_c0_61
b0_c0_123,视网膜血管痉挛狭窄,症状和体征,b0_c0_67
b0_c0_124,水肿出血,症状和体征,b0_c0_67
b0_c0_125,视力下降,症状和体征,b0_c0_66
b0_c0_126,视力损失,症状和体征,b0_c0_78
b0_c0_127,维生素A,药品,b1_c0_3
b0_c0_128,维生素B,药品,b6_c0_194
b0_c0_129,热休克蛋白HSP27,药品,b0_c0_79
b0_c0_130,热休克蛋白HSP60,药品,b0_c0_79
b0_c0_131,细胞因子,药品,b1_c10_794
b0_c0_132,补体蛋白,药品,b0_c0_112
b0_c0_133,内分泌,基础治疗,
b0_c0_134,免疫,基础治疗,
b0_c0_135,血液,基础治疗,
b0_c0_136,循环,基础治疗,
b0_c0_137,营养,基础治疗,
b0_c0_138,妇产,基础治疗,
b0_c0_139,儿科,基础治疗,
b0_c0_140,影像学,基础治疗,
b0_c0_141,光学,基础治疗,
b0_c0_142,超声,基础治疗,
b0_c0_143,早产患儿,多发人群,b0_c0_66
b0_c0_144,孕产妇,多发人群,b0_c0_67
b0_c0_145,视网膜脱离,疾病,b0_c0_66
b0_c0_146,眼球萎缩,疾病,b0_c0_66
b0_c0_147,数字眼科,疾病,
b0_c0_148,眼部退行性疾病,疾病,
b0_c0_149,现代计算机技术,解剖结构,b0_c0_147
b0_c0_150,通信技术,解剖结构,b0_c0_147
b0_c0_151,人工智能,解剖结构,b0_c0_147
b0_c0_152,大数据,解剖结构,b0_c0_147
b0_c0_153,医学生物工程学,解剖结构,b0_c0_147
b0_c0_154,化学,解剖结构,b0_c0_147
b0_c0_155,材料学,解剖结构,b0_c0_147
b0_c0_156,药学,解剖结构,b0_c0_147
b0_c0_157,基因治疗,基础治疗,b0_c0_80
b0_c0_158,干细胞治疗,基础治疗,b0_c0_147
b0_c0_159,人工视觉,基础治疗,b0_c0_147
b0_c0_160,白内障,疾病,b0_c1_564
b0_c0_161,墨子,别名,
b0_c0_162,瞳子,别名,b0_c0_176
b0_c0_163,黑眼,别名,b0_c0_14
b0_c0_164,白眼,别名,b1_c3_2626
b0_c0_165,photorefractive keratotomy,别名,b0_c0_191
b0_c0_166,PRK,别名,b0_c0_191
b0_c0_167,laser in situ keratomileusis,别名,b7_c34_359
b0_c0_168,LASIK,别名,b7_c34_359
b0_c0_169,laser epithelial keratomileusis,别名,b0_c16_995
b0_c0_170,LASEK,别名,b0_c1_269
